name,slug,voivodeship,teryt,kind
Aleksandrów Kujawski (1),aleksandrow-kujawski-1,kujawsko-pomorskie,0401011,gmina miejska
Aleksandrów Łódzki - miasto (4),aleksandrow-lodzki-miasto-4,łódzkie,1020044,miasto w gminie miejsko-wiejskiej
Alwernia - miasto (4),alwernia-miasto-4,małopolskie,1203014,miasto w gminie miejsko-wiejskiej
Andrychów - miasto (4),andrychow-miasto-4,małopolskie,1218014,miasto w gminie miejsko-wiejskiej
Annopol - miasto (4),annopol-miasto-4,lubelskie,0607024,miasto w gminie miejsko-wiejskiej
Augustów (1),augustow-1,podlaskie,2001011,gmina miejska
Babimost - miasto (4),babimost-miasto-4,lubuskie,0809014,miasto w gminie miejsko-wiejskiej
Baborów - miasto (4),baborow-miasto-4,opolskie,1602014,miasto w gminie miejsko-wiejskiej
Baranów Sandomierski - miasto (4),baranow-sandomierski-miasto-4,podkarpackie,1820014,miasto w gminie miejsko-wiejskiej
Barcin - miasto (4),barcin-miasto-4,kujawsko-pomorskie,0419014,miasto w gminie miejsko-wiejskiej
Barczewo - miasto (4),barczewo-miasto-4,warmińsko-mazurskie,2814014,miasto w gminie miejsko-wiejskiej
Bardo - miasto (4),bardo-miasto-4,dolnośląskie,0224014,miasto w gminie miejsko-wiejskiej
Barlinek - miasto (4),barlinek-miasto-4,zachodniopomorskie,3210014,miasto w gminie miejsko-wiejskiej
Bartoszyce (1),bartoszyce-1,warmińsko-mazurskie,2801011,gmina miejska
Barwice - miasto (4),barwice-miasto-4,zachodniopomorskie,3215024,miasto w gminie miejsko-wiejskiej
Bełchatów (1),belchatow-1,łódzkie,1001011,gmina miejska
Bełżyce - miasto (4),belzyce-miasto-4,lubelskie,0609014,miasto w gminie miejsko-wiejskiej
Biała - miasto (4),biala-miasto-4,opolskie,1610014,miasto w gminie miejsko-wiejskiej
Biała Piska - miasto (4),biala-piska-miasto-4,warmińsko-mazurskie,2816014,miasto w gminie miejsko-wiejskiej
Biała Podlaska (1),biala-podlaska-1,lubelskie,0661011,gmina miejska
Biała Rawska - miasto (4),biala-rawska-miasto-4,łódzkie,1013024,miasto w gminie miejsko-wiejskiej
Białaczów - miasto (4),bialaczow-miasto-4,łódzkie,1007014,miasto w gminie miejsko-wiejskiej
Białobrzegi - miasto (4),bialobrzegi-miasto-4,mazowieckie,1401014,miasto w gminie miejsko-wiejskiej
Białogard (1),bialogard-1,zachodniopomorskie,3201011,gmina miejska
Biały Bór - miasto (4),bialy-bor-miasto-4,zachodniopomorskie,3215034,miasto w gminie miejsko-wiejskiej
Białystok (1),bialystok-1,podlaskie,2061011,gmina miejska
Biecz - miasto (4),biecz-miasto-4,małopolskie,1205024,miasto w gminie miejsko-wiejskiej
Bielawa (1),bielawa-1,dolnośląskie,0202011,gmina miejska
Bielsk Podlaski (1),bielsk-podlaski-1,podlaskie,2003011,gmina miejska
Bielsko-Biała (1),bielsko-biala-1,śląskie,2461011,gmina miejska
Bierutów - miasto (4),bierutow-miasto-4,dolnośląskie,0214024,miasto w gminie miejsko-wiejskiej
Bieruń (1),bierun-1,śląskie,2414011,gmina miejska
Bieżuń - miasto (4),biezun-miasto-4,mazowieckie,1437014,miasto w gminie miejsko-wiejskiej
Bircza - miasto (4),bircza-miasto-4,podkarpackie,1813014,miasto w gminie miejsko-wiejskiej
Biskupiec - miasto (4),biskupiec-miasto-4,warmińsko-mazurskie,2814024,miasto w gminie miejsko-wiejskiej
Bisztynek - miasto (4),bisztynek-miasto-4,warmińsko-mazurskie,2801044,miasto w gminie miejsko-wiejskiej
Biłgoraj (1),bilgoraj-1,lubelskie,0602011,gmina miejska
Blachownia - miasto (4),blachownia-miasto-4,śląskie,2404014,miasto w gminie miejsko-wiejskiej
Bobolice - miasto (4),bobolice-miasto-4,zachodniopomorskie,3209034,miasto w gminie miejsko-wiejskiej
Bobowa - miasto (4),bobowa-miasto-4,małopolskie,1205034,miasto w gminie miejsko-wiejskiej
Bobrowniki - miasto (4),bobrowniki-miasto-4,kujawsko-pomorskie,0408024,miasto w gminie miejsko-wiejskiej
Bochnia (1),bochnia-1,małopolskie,1201011,gmina miejska
Bodzanów - miasto (4),bodzanow-miasto-4,mazowieckie,1419024,miasto w gminie miejsko-wiejskiej
Bodzentyn - miasto (4),bodzentyn-miasto-4,świętokrzyskie,2604024,miasto w gminie miejsko-wiejskiej
Bogatynia - miasto (4),bogatynia-miasto-4,dolnośląskie,0225034,miasto w gminie miejsko-wiejskiej
Bogoria - miasto (4),bogoria-miasto-4,świętokrzyskie,2612014,miasto w gminie miejsko-wiejskiej
Boguchwała - miasto (4),boguchwala-miasto-4,podkarpackie,1816034,miasto w gminie miejsko-wiejskiej
Boguszów-Gorce (1),boguszow-gorce-1,dolnośląskie,0221011,gmina miejska
Bojanowo - miasto (4),bojanowo-miasto-4,wielkopolskie,3022014,miasto w gminie miejsko-wiejskiej
Bolesławiec (1),boleslawiec-1,dolnośląskie,0201011,gmina miejska
Bolesławiec - miasto (4),boleslawiec-miasto-4,łódzkie,1018014,miasto w gminie miejsko-wiejskiej
Bolimów - miasto (4),bolimow-miasto-4,łódzkie,1015014,miasto w gminie miejsko-wiejskiej
Bolków - miasto (4),bolkow-miasto-4,dolnośląskie,0205024,miasto w gminie miejsko-wiejskiej
Borek Wielkopolski - miasto (4),borek-wielkopolski-miasto-4,wielkopolskie,3004014,miasto w gminie miejsko-wiejskiej
Borne Sulinowo - miasto (4),borne-sulinowo-miasto-4,zachodniopomorskie,3215044,miasto w gminie miejsko-wiejskiej
Branice - miasto (4),branice-miasto-4,opolskie,1602024,miasto w gminie miejsko-wiejskiej
Braniewo (1),braniewo-1,warmińsko-mazurskie,2802011,gmina miejska
Brańsk (1),bransk-1,podlaskie,2003021,gmina miejska
Brodnica (1),brodnica-1,kujawsko-pomorskie,0402011,gmina miejska
Brody - miasto (4),brody-miasto-4,lubuskie,0811034,miasto w gminie miejsko-wiejskiej
Brok - miasto (4),brok-miasto-4,mazowieckie,1416044,miasto w gminie miejsko-wiejskiej
Brusy - miasto (4),brusy-miasto-4,pomorskie,2202024,miasto w gminie miejsko-wiejskiej
Brwinów - miasto (4),brwinow-miasto-4,mazowieckie,1421034,miasto w gminie miejsko-wiejskiej
Brzeg (1),brzeg-1,opolskie,1601011,gmina miejska
Brzeg Dolny - miasto (4),brzeg-dolny-miasto-4,dolnośląskie,0222014,miasto w gminie miejsko-wiejskiej
Brzesko - miasto (4),brzesko-miasto-4,małopolskie,1202024,miasto w gminie miejsko-wiejskiej
Brzeszcze - miasto (4),brzeszcze-miasto-4,małopolskie,1213024,miasto w gminie miejsko-wiejskiej
Brzeziny (1),brzeziny-1,łódzkie,1021011,gmina miejska
Brześć Kujawski - miasto (4),brzesc-kujawski-miasto-4,kujawsko-pomorskie,0418044,miasto w gminie miejsko-wiejskiej
Brzostek - miasto (4),brzostek-miasto-4,podkarpackie,1803024,miasto w gminie miejsko-wiejskiej
Brzozów - miasto (4),brzozow-miasto-4,podkarpackie,1802014,miasto w gminie miejsko-wiejskiej
Budzyń - miasto (4),budzyn-miasto-4,wielkopolskie,3001024,miasto w gminie miejsko-wiejskiej
Buk - miasto (4),buk-miasto-4,wielkopolskie,3021034,miasto w gminie miejsko-wiejskiej
Bukowno (1),bukowno-1,małopolskie,1212011,gmina miejska
Busko-Zdrój - miasto (4),busko-zdroj-miasto-4,świętokrzyskie,2601014,miasto w gminie miejsko-wiejskiej
Bychawa - miasto (4),bychawa-miasto-4,lubelskie,0609034,miasto w gminie miejsko-wiejskiej
Byczyna - miasto (4),byczyna-miasto-4,opolskie,1604014,miasto w gminie miejsko-wiejskiej
Bydgoszcz (1),bydgoszcz-1,kujawsko-pomorskie,0461011,gmina miejska
Bystrzyca Kłodzka - miasto (4),bystrzyca-klodzka-miasto-4,dolnośląskie,0208064,miasto w gminie miejsko-wiejskiej
Bytom (1),bytom-1,śląskie,2462011,gmina miejska
Bytom Odrzański - miasto (4),bytom-odrzanski-miasto-4,lubuskie,0804024,miasto w gminie miejsko-wiejskiej
Bytów - miasto (4),bytow-miasto-4,pomorskie,2201024,miasto w gminie miejsko-wiejskiej
Będzin (1),bedzin-1,śląskie,2401011,gmina miejska
Błaszki - miasto (4),blaszki-miasto-4,łódzkie,1014024,miasto w gminie miejsko-wiejskiej
